date,ticker,series_label,dataset_type,value,open,high,low,close,adj_close,volume,quality_notes	
2023-11-21,XLE,energy_etf,equity,84.62000275,84.41000366,84.76999664,83.80999756,84.62000275,79.17155457,13486900,ok	
2023-11-27,XLE,energy_etf,equity,84.62999725,84.48999786,84.77999878,83.83999634,84.62999725,79.1809082,12250900,ok	
2023-11-29,XLE,energy_etf,equity,84.01999664,85.18000031,85.29000092,83.75,84.01999664,78.61019897,22634000,ok	
2023-11-30,XLE,energy_etf,equity,84.58000183,84.73999786,85.79000092,83.56999969,84.58000183,79.13414764,29182300,ok	
2023-12-04,XLE,energy_etf,equity,84.62999725,84.40000153,85.16000366,84.01000214,84.62999725,79.1809082,18535100,ok	
2023-12-06,XLE,energy_etf,equity,81.91000366,82.61000061,83.19000244,81.58999634,81.91000366,76.63605499,31153300,ok	
2023-12-08,XLE,energy_etf,equity,82.23000336,81.88999939,82.48000336,81.72000122,82.23000336,76.93545532,17063600,ok	
2023-12-11,XLE,energy_etf,equity,82.33000183,82.30000305,82.59999847,81.91999817,82.33000183,77.02901459,14672100,ok	
2023-12-13,XLE,energy_etf,equity,82.33000183,81.25,82.36000061,80.87000275,82.33000183,77.02901459,23222800,ok	
2023-12-15,XLE,energy_etf,equity,84.30000305,83.98999786,84.45999908,83.59999847,84.30000305,78.87216949,23183200,ok	
2023-12-19,XLE,energy_etf,equity,85.19000244,84.33999634,85.27999878,84.15000153,85.19000244,80.47044373,18431200,ok	
2023-12-20,XLE,energy_etf,equity,84.40000153,85.48999786,85.98999786,84.30000305,84.40000153,79.72419739,19909100,ok	
2023-12-22,XLE,energy_etf,equity,84.98000336,85.33999634,85.72000122,84.84999847,84.98000336,80.27205658,12518900,ok	
2023-12-26,XLE,energy_etf,equity,85.70999908,85.69999695,86.16999817,85.44000244,85.70999908,80.96162415,12991700,ok	
2023-12-28,XLE,energy_etf,equity,84.02999878,84.88999939,85.22000122,84,84.02999878,79.37469482,13099000,ok	
2024-01-03,XLE,energy_etf,equity,86.12000275,84.87000275,86.43000031,84.44000244,86.12000275,81.34889984,18968000,ok	
2024-01-05,XLE,energy_etf,equity,84.68000031,85.41999817,85.45999908,84.29000092,84.68000031,79.98868561,17014600,ok	
2024-01-09,XLE,energy_etf,equity,82.36000061,83.80999756,83.90000153,82.18000031,82.36000061,77.79721069,16875200,ok	
2024-01-10,XLE,energy_etf,equity,81.55000305,82.51999664,82.55000305,81.22000122,81.55000305,77.0320816,16579900,ok	
2024-01-12,XLE,energy_etf,equity,82.68000031,83.01999664,83.34999847,82.18000031,82.68000031,78.0994873,19384600,ok	
